logS,smiles
1.58,CC(N)=O
1.34,CNN
1.22,CC(=O)O
1.15,C1CCNC1
1.12,NC(=O)NO
1.12,OCC(O)CO
1.11,CC(=O)N(C)C
1.1,c1ccnnc1
1.1,c1cncnc1
1.09,OC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO
1.08,C[C@@H](N)CC(=O)O
1.07,C1CNCCN1
1.07,C1CCNCC1
1.02,Oc1ccncc1
1.02,Oc1ccccn1
1.0,O=C(O)CCCC(=O)O
1.0,CN1CCOCC1
0.97,COC(N)=O
0.96,Cn1ccccc1=O
0.93,O=C(O)CCl
0.85,CCOC(N)=O
0.81,COC(=O)C1=CCCN(C)C1
0.81,Oc1cccc(O)c1
0.76,c1ccncc1
0.74,C[C@@H]1CNCCN1
0.64,OC[C@]1(O)OC[C@@H](O)[C@@H](O)[C@H]1O
0.62,Oc1ccccc1O
0.61,NC(=O)c1cccnc1
0.59,O=c1ccnc[nH]1
0.58,CCC=O
0.58,COC=O
0.57,C=CC=O
0.56,C1CCOC1
0.52,CCC(C)=O
0.49,C[C@H]1CN[C@H](C)CN1
0.48,COCOC
0.45,Cc1cccc(C)n1
0.4,Cc1ccc(C)nc1
0.39,O[C@@H]1[C@H](O)[C@H](O)OC[C@H]1O
0.38,Cc1ccnc(C)c1
0.38,Cc1cccnc1C
0.36,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1
0.35,O[C@H]1[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
0.32,C/C=C\C=O
0.31,CC[C@H](N)C(=O)O
0.3,O=C1CCC(=O)N1
0.28,CC(C)C(=O)O
0.23,CN1CCCCC1
0.22,CC(=O)CC(C)=O
0.15,CCOC=O
0.15,C=CC#N
0.11,C[C@@H]1CCCO1
0.1,CC(C)(C)OC(N)=O
0.08,CCC(C)(C)O
0.07,NNc1ccccc1
0.04,CC(C)CO
0.04,CCS(=O)(=O)CC
0.02,c1cnc2ncncc2n1
0.01,NNC(=O)c1ccncc1
0.0,Oc1ccccc1
-0.01,CCCC=O
-0.02,CN1[C@H]2CC[C@@H]1C[C@H](O)[C@@H]2C(=O)O
-0.03,C1CCOCC1
-0.06,CC[C@@H]1NC(=O)NC1=O
-0.07,Cc1cc(O)no1
-0.09,C[C@H](O)[C@@H](N)C(=O)O
-0.09,CCOCC
-0.1,O=Cc1ccco1
-0.12,Cc1ncc2nccnc2n1
-0.13,CC(C)(S)[C@@H](N)C(=O)O
-0.14,CCN(CC)CC
-0.17,c1cc[nH]c1
-0.17,O[C@H]1C[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O
-0.17,Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O
-0.17,O=NN1CCCCC1
-0.19,CCCC(C)=O
-0.19,CCCC(=O)O
-0.2,CN(C)NC(=O)CCC(=O)O
-0.2,O=C(O)CCC(=O)O
-0.2,CC(C)[C@H](C)O
-0.22,C=CC(=O)OC
-0.24,CCC(O)CC
-0.27,O=C(O)[C@@H]1[C@H]2CC[C@@H](O2)[C@@H]1C(=O)O
-0.29,CCC[C@@H](C)O
-0.29,CC(C)(C(=O)O)[C@@](C)(CC(=O)O)C(=O)O
-0.29,N#CCCCl
-0.29,OCc1ccccc1O
-0.3,CC(C)COC(N)=O
-0.31,N#CN=C(N)N
-0.38,CCC(C)(O)CC
-0.38,Nc1ccc(N)cc1
-0.39,CCCOC
-0.39,CC(C)[C@H](C)CO
-0.4,OCc1ccccc1
-0.42,CSCC[C@H](N)C(=O)O
-0.42,Nc1ccccc1N
-0.42,CN[C@H](C)[C@H](O)c1ccccc1
-0.44,OC1CCCCC1
-0.45,CC(=O)C[C@@H]1CCCCN1
